909.48 1128.67 0 0
909.48 1128.67 0 0.0136532
909.48 1128.67 0 0.0136532
909.481 1128.67 0 0.0273064
909.481 1128.67 0 0.00682659
909.481 1128.67 0 0.0136532
909.482 1128.67 0 0.0273064
909.482 1128.67 0 0.00682659
909.482 1128.67 0 0.0136532
909.483 1128.67 0 0.0273064
909.483 1128.67 0 0
909.483 1128.67 0 0.0136532
909.484 1128.67 0 0.0273064
909.484 1128.67 0 0.0136532
909.484 1128.67 0 0.0136532
909.484 1128.67 0 0.00682659
909.485 1128.67 0 0.0136532
909.485 1128.67 0 0.0273064
909.486 1128.67 0 0.00682659
909.486 1128.67 0 0.0136532
909.487 1128.67 0 0.081919
909.491 1128.67 0 0.197971
909.497 1128.67 0 0.27989
909.506 1128.67 0 0.368636
909.517 1128.67 0 0.477861
909.531 1128.67 0 0.60074
909.548 1128.67 0 0.737271
909.569 1128.67 0 0.88063
909.596 1128.67 0 1.04447
909.629 1128.67 0 1.20831
909.667 1128.67 0 1.4131
909.71 1128.67 0 1.61108
909.761 1128.67 0 2.0548
909.818 1128.67 0 2.28691
909.904 1128.67 0 2.54632
909.952 1128.67 0 2.81938
910.03 1128.67 0 3.09927
910.116 1128.67 0 3.38599
910.243 1128.67 0 3.70001
910.348 1128.67 0 4.02769
910.462 1128.67 0 4.36219
910.585 1128.67 0 4.70352
910.718 1128.67 0 5.07898
910.861 1128.67 0 5.44762
911.014 1128.67 0 5.82991
911.177 1128.67 0 6.23268
911.412 1128.67 0 6.65592
911.602 1128.67 0 7.07917
911.803 1128.67 0 7.52973
912.018 1128.67 0 7.98711
912.243 1128.67 0 8.42401
912.477 1128.67 0 8.88139
912.727 1128.67 0 9.31147
912.99 1128.67 0 9.77567
913.355 1128.67 0 10.2262
913.641 1128.67 0 10.67
913.94 1128.67 0 11.1069
914.25 1128.67 0 11.5642
914.572 1128.67 0 12.008
915.022 1128.67 0 12.9023
915.372 1128.67 0 13.3596
915.611 1128.67 0 13.3665
916.105 1128.67 0.446464 13.8038
916.488 1128.67 0.459404 14.2748
